n,correlacion,p_value,ci_lower,ci_upper,significativo_bootstrap,indicador_digital,medida_psicometrica,correlacion_abs
18,-0.0975625651762281,0.7001427163808207,-0.5955228867331539,0.4126386969981077,False,promedio_score_negativo,ucla_total,0.0975625651762281
18,-0.093071553770076,0.7133803981765443,-0.6003185324732869,0.4576971884257074,False,promedio_score_negativo,dass_depresion,0.093071553770076
18,0.08614566925135035,0.7339475171440923,-0.42551861793328316,0.5603016152646643,False,promedio_enojo,ucla_total,0.08614566925135035
18,0.08138114910632117,0.7481979244004562,-0.5338271932434028,0.5626799674903838,False,promedio_pronombres_1era_sing,dass_estres,0.08138114910632117
18,0.07299666942417127,0.7734624320319998,-0.4652241611388121,0.542852892665486,False,promedio_riqueza_lexica,dass_estres,0.07299666942417127
18,-0.07046692661583874,0.7811291691405481,-0.5660511707178788,0.4329726794738263,False,promedio_score_negativo,dass_ansiedad,0.07046692661583874
18,0.06850137554926655,0.7870993693853561,-0.4329707055102704,0.5636058296144862,False,promedio_palabras,ucla_total,0.06850137554926655
18,0.06048295466574192,0.8115686498815816,-0.508315994356123,0.5327365134769061,False,promedio_alegria,dass_estres,0.06048295466574192
18,-0.0510976685969199,0.8404200863762226,-0.5633390013813255,0.5351010002744179,False,promedio_score_neutral,dass_estres,0.0510976685969199
18,0.03217488851556459,0.8991473555811569,-0.46352503575268567,0.5086755419310931,False,promedio_score_neutral,ucla_total,0.03217488851556459
18,-0.023871691479289858,0.9250926328135001,-0.4768110972484956,0.48195629485369684,False,promedio_miedo,ucla_total,0.023871691479289858
18,-0.023784952630130536,0.9253640926913319,-0.5362656465090202,0.4778247286494134,False,promedio_score_neutral,dass_depresion,0.023784952630130536
18,0.018614310754015203,0.9415594201530086,-0.5037389869077366,0.5005327374005867,False,promedio_enojo,dass_depresion,0.018614310754015203
18,-0.012513714758429361,0.9606951465057958,-0.5281805519185598,0.47783383668631446,False,promedio_score_negativo,dass_estres,0.012513714758429361
18,0.009326504993272774,0.9707012301944105,-0.496039910516197,0.5150221662509306,False,promedio_score_neutral,dass_ansiedad,0.009326504993272774
18,0.008303197036274733,0.9739148053278874,-0.5393507061104655,0.526225563771844,False,promedio_riqueza_lexica,ucla_total,0.008303197036274733
